Year,Province,R&D Personnel,Internal R&D Expenditure (10K RMB),Labor Service Cost (10K RMB),Equipment Cost (10K RMB),Institutional Expenditure (10K RMB),Tech Renovation Expenditure (10K RMB),Technology Import Expenditure (10K RMB),Technology Assimilation Expenditure (10K RMB),Domestic Tech Purchase Expenditure (10K RMB),New Product Investment,Valid Invention Patents,Firms with R&D Institutions,Entrepreneurial Activity,Total Profit (100M RMB),Green Invention Output,Postal & Telecom Volume,Postal Volume,Telecom Volume,Enterprise Informatization Level,Digital Infra - Fiber Length,Digital Infra - Broadband Ports per Capita,Digital Economy,Enterprise Digitalization,Digital Policy Keyword Frequency,Education Expenditure,Science & Tech Expenditure,Tertiary Sector Employment Share,Higher Education Share,Innovation Labor Input,Fixed Asset Investment,New Productivity Level,Economic Development Level,Openness Level,Industrial Structure,Population Density,Industrialization Level,Urbanization Level,New Fixed Assets in Electronics & Telecom (100M RMB),New Fixed Assets in Computers & Office Equipment (100M RMB)
2013,Beijing,63292,2130860.8,772737.6,85656.2,1260950.4,32181.6,157760.6,1950.6,10949.8,0.0076,17428,382,6489.8354,584.74,0.2469,757.0354,163.0345,594.0009,7.5,219960.6,0.5585,0.2299,2883,27,6811775,2346742,0.7666,0.1171,242175,554.02,0.2289,100569,0.941123818,0.00000936,0.00000994,0.941123818,0.864,542.7,11.32
2013,Tianjin,32226,902630.8,284350.8,167182.2,490408.4,36787.4,87505.6,2720.8,614.4,0.003,6912,188,6427.3052,595.72,0.165,213.084,29.2994,183.7846,5.4,130251.5,0.251,0.0447,87,16,4613571,928087,0.4965,0.1038,100219,327.04,0.1402,71344.62,1.403125124,0.0000197,0.000014,1.403125124,0.822695035,279.24,47.8
2013,Hebei,23738,433374.4,109132.8,56617.8,275911.2,90129.8,2093.6,11822.2,14532.2,0.0007,1856,214,5497.8867,215.56,0.1534,728.7249,77.0612,651.6637,2.7,808204.9,0.2812,0.1348,74,33,8376280,497600,0.3152,0.0912,89546,349.18,0.1339,33346,1.166826606,0.000035,0.00003,1.166826606,0.480241493,337.56,11.62
2013,Shanghai,65442,2123002.6,849704,280383.8,1621491.2,107917.8,88266,28638.8,33259.2,0.0065,10718,352,7307.8433,471.44,0.1629,791.8151,258.6569,533.1582,5.7,317955.7,0.5615,0.1367,1347,59,6795418,2576599,0.6129,0.1073,165755,133.26,0.1727,95746,0.95035824,0.00000993,0.0000104,0.95035824,0.895833333,103.2,30.06
2013,Jiangsu,255978,5596160.8,1686310.2,740258.8,6516506.6,2318426.4,299274.4,81788.6,94333.2,0.0067,28486,4916,9148.3027,3043.06,0.1399,1402.7972,269.5869,1133.2103,5.6,1735687,0.3739,0.2088,813,21,14349863,3025912,0.38,0.0932,466159,2369.1,0.2191,72767.79,1.035540587,0.0000142,0.0000137,1.035540587,0.643920898,2202.86,166.24
2013,Zhejiang,133724,2609354,1046592,202962,2386158.2,628792.8,44445.2,31289.2,77704,0.0039,13344,1976,10633.1953,838.34,0.1226,1283.5203,327.9408,955.5795,11.5,1156446.1,0.4231,0.2138,1058,26,9500650,1918660,0.4137,0.0879,311042,373.46,0.2258,65105,1.056826969,0.0000162,0.0000154,1.056826969,0.639349931,346.42,27.04
2013,Fujian,67454,1410713.6,474123,133034.8,1090875,335189.6,159812,23836,128764.8,0.0033,5330,412,7681.3384,353.88,0.1382,738.4464,114.104,624.3424,5.8,654370.3,0.3705,0.1319,866,19,5749113,606228,0.3777,0.0902,122544,302.62,0.1753,58254.83,0.998114663,0.0000171,0.0000172,0.998114663,0.607979408,284.66,17.96
2013,Shandong,120194,3124344.6,815095.6,266706.6,2336894.6,788422.4,85341.2,31090.6,124985.4,0.003,9334,758,6594.5415,1400.66,0.1252,1063.8315,117.4404,946.391,4.6,811453,0.2603,0.2307,573,23,13996715,1491372,0.334,0.0897,279331,648.9,0.1754,48673.11,1.168713836,0.000024,0.0000205,1.168713836,0.534578289,605.18,43.72
2013,Guangdong,487746,13225640.4,6289775,1123671.6,10093162.4,1639793.2,128342.6,20380.2,41023.8,0.0122,141466,1604,8151.2158,2777.24,0.1463,2768.0904,591.999,2176.0914,7.7,1200747.7,0.295,0.3839,2811,66,17445886,3449378,0.3955,0.0955,501718,1019.36,0.263,56029.21,1.050041577,0.0000187,0.0000178,1.050041577,0.680922804,904.68,114.68
2013,Hainan,4832,78078,15188.2,10247,72171,33228.4,2724.6,1852,49410.6,0.0015,662,46,6426.0869,34.08,0.2376,126.4248,8.8669,117.5579,4.8,105218.1,0.2159,0.0227,42,12,1745722,138250,0.4667,0.0922,6962,40.36,0.1536,34053,1.047279241,0.0000308,0.0000294,1.047279241,0.522826087,39.08,1.28
2013,Shanxi,8860,116959.6,22158.2,12847.4,79465,24353,2554.8,5864.6,2047.2,0.0006,554,70,5491.061,50.22,0.1724,392.2669,34.106,358.1609,1.8,599864.7,0.2494,0.0801,27,18,5424434,620613,0.392,0.0952,49035,72.14,0.0979,33847.89,1.033560269,0.0000305,0.0000295,1.033560269,0.528712871,70.86,1.28
