Fiscal Year,Province,Total Carbon Emissions (10K tons)
2010,Beijing,13025.2
2010,Tianjin,16225.2538
2010,Hebei,40762.7933
2010,Shanxi,26454.7861
2010,Inner Mongolia,23487.6024
2010,Liaoning,60793.6018
2010,Jilin,13899.0227
2010,Heilongjiang,23856.3423
2010,Shanghai,22405.7871
2010,Jiangsu,47063.3979
2010,Zhejiang,36242.3345
2010,Anhui,15127.6658
2010,Fujian,16586.4309
2010,Jiangxi,9022.3072
2010,Shandong,64207.5892
2010,Henan,29979.5652
2010,Hubei,18970.1328
2010,Hunan,14748.1944
2010,Guangdong,50131.8693
2010,Guangxi,8898.6759
2010,Hainan,6926.9427
2010,Chongqing,5984.4646
2010,Sichuan,15409.027
2010,Guizhou,8802.6855
2010,Yunnan,7380.3847
2010,Shaanxi,24285.0926
2010,Gansu,14939.2661
2010,Qinghai,3307.0599
2010,Ningxia,7207.5756
2010,Xinjiang,22693.5774
2011,Beijing,12893.0195
2011,Tianjin,17975.3491
2011,Hebei,45377.4281
2011,Shanxi,30400.6911
2011,Inner Mongolia,30007.1237
2011,Liaoning,63529.3082
2011,Jilin,16205.5106
2011,Heilongjiang,25892.4434
2011,Shanghai,22747.8664
2011,Jiangsu,50498.3084
2011,Zhejiang,38602.2292
2011,Anhui,16748.9643
2011,Fujian,17247.1154
2011,Jiangxi,9736.296
2011,Shandong,80158.6418
2011,Henan,33851.0356
2011,Hubei,20898.0778
2011,Hunan,17288.3302
2011,Guangdong,52044.2316
2011,Guangxi,14463.7436
2011,Hainan,7644.6626
2011,Chongqing,6887.213
2011,Sichuan,16839.3809
2011,Guizhou,9975.9542
2011,Yunnan,8610.1228
2011,Shaanxi,25799.1444
2011,Gansu,17435.8451
2011,Qinghai,4135.1524
2011,Ningxia,8461.3289
2011,Xinjiang,26422.8505
2012,Beijing,12964.9569
2012,Tianjin,16956.2753
2012,Hebei,46195.1903
2012,Shanxi,33696.113
2012,Inner Mongolia,31158.1268
2012,Liaoning,65999.6906
2012,Jilin,16113.9399
2012,Heilongjiang,26121.1135
2012,Shanghai,23161.6491
2012,Jiangsu,51534.9986
2012,Zhejiang,37170.9517
2012,Anhui,18202.7716
2012,Fujian,18204.1184
2012,Jiangxi,10359.3775
2012,Shandong,84659.6911
2012,Henan,34101.8521
2012,Hubei,20806.9869
2012,Hunan,18565.254
2012,Guangdong,52658.3217
2012,Guangxi,17658.8534
2012,Hainan,7900.3081
2012,Chongqing,6913.7996
2012,Sichuan,17130.1008
2012,Guizhou,11001.3136
2012,Yunnan,9330.3612
2012,Shaanxi,28927.3435
2012,Gansu,17402.6634
2012,Qinghai,4508.9259
2012,Ningxia,10367.392
2012,Xinjiang,28768.1962
2013,Beijing,11439.2213
2013,Tianjin,18468.589
2013,Hebei,46165.3866
2013,Shanxi,51573.3642
2013,Inner Mongolia,33945.2135
2013,Liaoning,62497.6218
2013,Jilin,15002.3245
2013,Heilongjiang,24625.2591
2013,Shanghai,26059.6357
2013,Jiangsu,55402.9615
2013,Zhejiang,38591.283
2013,Anhui,20489.1644
2013,Fujian,17970.5565
2013,Jiangxi,11205.4361
2013,Shandong,87030.0373
2013,Henan,32716.7455
2013,Hubei,20916.3158
2013,Hunan,18446.8244
2013,Guangdong,54469.8359
2013,Guangxi,16775.2231
2013,Hainan,6742.5469
2013,Chongqing,6600.7542
2013,Sichuan,17077.4894
2013,Guizhou,12100.1465
2013,Yunnan,9202.1603
2013,Shaanxi,31350.7793
2013,Gansu,18180.0348
2013,Qinghai,5132.1715
2013,Ningxia,10943.2342
2013,Xinjiang,31262.4311
2014,Beijing,12554.9754
2014,Tianjin,17513.2712
2014,Hebei,44947.9084
2014,Shanxi,53021.184
2014,Inner Mongolia,35104.6312
2014,Liaoning,61768.5906
2014,Jilin,14988.1158
2014,Heilongjiang,24249.376
2014,Shanghai,23166.4706
2014,Jiangsu,56288.074
2014,Zhejiang,37913.899
2014,Anhui,22207.4628
2014,Fujian,25133.926
2014,Jiangxi,11274.85
2014,Shandong,95304.3625
2014,Henan,32340.0946
2014,Hubei,21875.2403
2014,Hunan,17403.8229
2014,Guangdong,55865.1889
2014,Guangxi,17392.5468
2014,Hainan,8157.6178
2014,Chongqing,6997.2927
2014,Sichuan,20873.1912
2014,Guizhou,12421.3825
2014,Yunnan,9287.3628
2014,Shaanxi,32377.4879
2014,Gansu,17674.7886
2014,Qinghai,5015.0632
2014,Ningxia,10992.8644
2014,Xinjiang,34170.9575
2015,Beijing,12220.772
2015,Tianjin,17555.8007
2015,Hebei,46343.5312
2015,Shanxi,50380.0876
2015,Inner Mongolia,34050.3113
2015,Liaoning,61321.4007
2015,Jilin,14081.803
2015,Heilongjiang,24182.5781
2015,Shanghai,25029.882
2015,Jiangsu,58847.3305
2015,Zhejiang,38691.9545
2015,Anhui,21935.4295
2015,Fujian,25599.3355
2015,Jiangxi,12095.0527
2015,Shandong,105346.1285
2015,Henan,32166.532
2015,Hubei,21829.42
2015,Hunan,18064.7483
2015,Guangdong,56776.1312
2015,Guangxi,17447.7952
2015,Hainan,9404.368
2015,Chongqing,7079.6345
2015,Sichuan,20409.3276
2015,Guizhou,12520.9166
2015,Yunnan,8766.7531
2015,Shaanxi,32413.2001
2015,Gansu,17344.3534
2015,Qinghai,4387.4675
2015,Ningxia,11457.1288
2015,Xinjiang,33955.4191
2016,Beijing,48493.7154
2016,Tianjin,16267.88
2016,Hebei,46943.4382
2016,Shanxi,49540.847
2016,Inner Mongolia,34603.3728
2016,Liaoning,65042.8318
2016,Jilin,14394.5561
2016,Heilongjiang,25045.8394
2016,Shanghai,24971.2531
2016,Jiangsu,62073.4872
2016,Zhejiang,38353.6414
2016,Anhui,21175.5791
2016,Fujian,25073.7288
2016,Jiangxi,13317.703
2016,Shandong,118156.5186
2016,Henan,31327.7912
2016,Hubei,21889.9065
2016,Hunan,18231.7317
2016,Guangdong,50184.556
2016,Guangxi,17424.362
2016,Hainan,9410.313
2016,Chongqing,37123.4881
2016,Sichuan,19838.7436
2016,Guizhou,13409.8348
